year,name,artists,album,popularity,release_date
2003,Here Without You,3 Doors Down,Here Without You,0,2003-01-01
2003,I Want You,"Thalia, Fat Joe",Thalia,56,2003-01-01
2003,Damn! (feat. Lil' Jon) - Club Mix,"Youngbloodz, Lil Jon",The Best Of YoungBloodZ: Still Grippin' Tha Grain,40,2006-11-21
2003,Magic Stick,Lil' Kim,La Bella Mafia,48,2003-03-03
2003,P.I.M.P.,50 Cent,P.I.M.P. (International Version),0,2003-01-01
2003,Underneath It All,"No Doubt, Lady Saw",The Singles Collection,47,2003-01-01
2003,Love Of My Life (An Ode To Hip Hop) - Longer Album Version,"Erykah Badu, Common",Go! Common Classics,48,2010-05-11
2003,Angel,Amanda Perez,Angel,51,2003-01-01
2003,Miss Independent,Kelly Clarkson,Thankful,44,2003-09-29
2003,Like Glue,Sean Paul,Dutty Rock,0,2002-11-12
2003,21 Questions,"50 Cent, Nate Dogg",21 Questions [International Version (Explicit)],0,2003-01-01
2003,I Like That,"Houston, Chingy, Nate Dogg, I-20",I Like That,43,2003-10-07
2003,"Bump, Bump, Bump (feat. P. Diddy)","B2K, Diddy",Playlist: The Very Best Of Omarion,39,2010-07-27
2003,If You're Not The One,Daniel Bedingfield,100 Essential Love Songs (Online version),0,2006-01-01
2003,Sick Of Being Lonely,Field Mob,From Tha Roota To Tha Toota,0,2002-01-01
2003,My Front Porch Looking In,Lonestar,16 Biggest Hits,52,1995
2003,Don't Wanna Try,Frankie J,Playlist: The Very Best Of Frankie J,30,2010-07-27
2003,Put That Woman First,Jaheim,Still Ghetto,35,2002-11-05
2003,"The Remedy (I Won't Worry) - Live at the Charter One Pavilion, Chicago, IL, 8/13/2009",Jason Mraz,Jason Mraz's Beautiful Mess: Live on Earth,28,2009-11-06
2003,Flying Without Wings,Ruben Studdard,Soulful,36,2003-08-22
2003,Hell Yeah,Ginuwine,The Senior,32,2003-04-08
2003,Intuition,Jewel,0304 (U.S. Version),0,2003-05-30
2003,I'm with You,Avril Lavigne,Under My Skin/Let Go,0,2002
2003,Take a Loss,TONYB.,Take a Loss,0,2019-03-22
2003,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,"Jennifer Lopez, Jadakiss, Styles P",Jenny From The Block,18,2002-11-11
2003,My Love Is Like...Wo,Mýa,My Love Is Like...Wo,19,2003-01-01
2003,She Hates Me,Puddle Of Mudd,She Hates Me,24,2002-01-01
2003,It's Five O'clock Somewhere,The Country Heroes,A Salute to Alan Jackson,7,2010-07-01
2003,All I Have,"Jennifer Lopez, LL COOL J",This Is Me...Then,0,2002-11-20
2003,How,Luau,Nothing to Say,1,2019-03-08
2003,Where Is The Love?,Black Eyed Peas,Elephunk (Ecopac),0,2003
2003,Sing For The Moment,Eminem,Curtain Call (Deluxe),1,2005-12-06
2003,This Is The Night,Clay Aiken,Playlist: The Very Best Of Clay Aiken,10,2010-07-27
2003,Ignition (Remix),R. Kelly,The R. In R&B Collection: Volume 1,1,2003-09-11
2003,Suga Suga,"Baby Bash, Frankie J",Tha Smokin' Nephew,10,2003-01-01
2003,Superman,"Eminem, Dina Rae",The Eminem Show,2,2002-05-26
2003,Lose Yourself - Soundtrack Version,Eminem,Lose Yourself (International Version),4,2002-11-13
2003,Beautiful,Christina Aguilera,Christina Aguilera/Stripped,0,2006-08-28
2003,When I'm Gone,3 Doors Down,Away From The Sun,0,2002-11-12
2003,Bring Me To Life,Evanescence,Fallen,1,2003
2003,No Letting Go,Wayne Wonder,No Holding Back,0,2003-03-04
2003,Forever And For Always - Pop Red Edit,Shania Twain,Greatest Hits (International Version),0,2004-01-01
2003,Your Body Is a Wonderland,John Mayer,Room For Squares,0,2001-08-16
2003,Get Low,"Lil Jon & The East Side Boyz, Ying Yang Twins",Ultimate Workout Vol. 3: Hip-Hop,0,2009-07-01
2003,Frontin' - Radio Mix/Club Mix,"Pharrell Williams, JAY-Z",The Neptunes Present... Clones,0,2003
2003,Thoia Thoing,R. Kelly,The R. In R&B Collection: Volume 1,0,2003-09-11
2003,"Can't Stop, Won't Stop","Young Gunz, Chingy",Tough Luv,0,2004-01-01
2003,The Game of Love - Main/Radio Mix,"Santana, Michelle Branch",Ultimate Santana,0,2007-10-10
2003,"Never Leave You - Uh Ooh, Uh Oooh! - Main",Lumidee,"Never Leave You - uh ooh, uh ooh!",0,2003-01-01
2003,Stand Up,"Ludacris, Shawnna",Chicken - N - Beer,0,2003-01-01
2003,I Can,Nas,Greatest Hits,0,2007-11-06
2003,Picture (feat. Sheryl Crow),"Kid Rock, Sheryl Crow",Cocky,72,2001
2003,The Jump Off,Lil' Kim,The Jump Off,0,2003-02-04
2003,Fighter,Christina Aguilera,Christina Aguilera/Stripped,0,2006-08-28
2003,Thugz Mansion - 2Pac Original/Acoustic (Explicit),2Pac,The Best of 2Pac - Pt. 2: Life,0,2007-12-04
2003,Miss You,Aaliyah,I Care 4 U,0,2002
2003,Landslide,The Chicks,Home,0,2002-08-27
2003,03' Bonnie & Clyde,"JAY-Z, Beyoncé",The Hits Collection Volume One [International Version (Explicit)],41,2010-11-22
2004,Mockingbird,Eminem,Encore (Deluxe Version),88,2004-11-12
2004,All Falls Down,"Kanye West, Syleena Johnson",The College Dropout,84,2004-02-10
2004,If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,84,2003-12-02
2004,Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams",R&G (Rhythm & Gangsta): The Masterpiece,80,2004-01-01
2004,Are You Gonna Be My Girl,Jet,Get Born,22,2003
2004,"1, 2 Step (feat. Missy Elliott)","Ciara, Missy Elliott",Goodies,79,2004-09-27
2004,I'm Not Okay (I Promise),My Chemical Romance,Three Cheers for Sweet Revenge,79,2004-06-08
2004,Through The Wire,Kanye West,The College Dropout,77,2004-02-10
2004,My Band,D12,D-12 World,74,2004-01-01
2004,Someday,Nickelback,The Long Road,77,2003-09-23
2004,Roses,Outkast,Speakerboxxx/The Love Below,73,2003
2004,Goodies (feat. Petey Pablo),"Ciara, Petey Pablo",Goodies,72,2004-09-27
2004,Lovers And Friends,"Lil Jon & The East Side Boyz, USHER, Ludacris",Crunk Juice,72,2004-11-16
2004,Like Toy Soldiers,Eminem,Encore (Deluxe Version),70,2004-11-12
2004,Ghetto Gospel,"2Pac, Elton John",Loyal To The Game,70,2004-01-01
2004,Milkshake,Kelis,Tasty,5,2003-12-05
2004,Let Me Love You,Mario,Turning Point,73,2004-12-06
2004,Naughty Girl,Beyoncé,Dangerously In Love,68,2003-06-24
2004,Let's Go (feat. Twista & Lil' Jon),"Trick Daddy, Lil Jon, Twista",Thug Matrimony: Married to the Streets,68,2004-10-26
2004,Turn Me On,Kevin Lyttle,Turn Me On (Online Music),66,2004-03-30
2004,You Don't Know My Name,Alicia Keys,The Diary Of Alicia Keys,71,2003-12-02
2004,Dirt Off Your Shoulder,JAY-Z,The Black Album,65,2003-11-14
2004,Slow Motion,"JUVENILE, Soulja Slim",Juve The Great,68,2003-01-01
2004,Lose My Breath,Destiny's Child,Destiny Fulfilled,68,2004
2004,Cemetery Drive,My Chemical Romance,Three Cheers for Sweet Revenge,66,2004-06-08
2004,"Me, Myself and I",Beyoncé,Dangerously In Love,65,2003-06-24
2004,Hey Ya!,Outkast,The Way You Move / Hey Ya!,61,2003
2004,Southside,"Lloyd, Ashanti",Southside,64,2004-01-01
2004,Salt Shaker,"Ying Yang Twins, Lil Jon & The East Side Boyz",Me & My Brother,67,2003-09-16
2004,Slow Jamz (feat. Kanye West & Jamie Foxx),"Twista, Kanye West, Jamie Foxx",Kamikaze,64,2004-01-27
2004,Numb,Linkin Park,Meteora (Bonus Edition),61,2003-03-25
2004,Letters from Home,John Michael Montgomery,Letters From Home,60,2004-04-20
2004,Holidae In,"Chingy, Ludacris, Snoop Dogg",Jackpot,61,2003-01-01
2004,Tipsy - Club Mix,J-Kwon,Tipsy,56,2001-01-01
2004,Breaking the Habit,Linkin Park,Meteora (Bonus Edition),58,2003-03-25
2004,Walked Outta Heaven,Jagged Edge,Hard,59,2003-10-07
2004,Dip It Low,Christina Milian,Dip It Low,56,2004-01-01
2004,With You,Jessica Simpson,In This Skin (Deluxe Edition),55,2003
2004,When the Sun Goes Down,"Kenny Chesney, Uncle Kracker",Greatest Hits II,50,2009-05-19
2004,You'll Think Of Me - Single Version,Keith Urban,Greatest Hits,51,2007-01-01
2004,On the Way Down,Ryan Cabrera,Take It All Away (U.S. Version),53,2004-06-08
2004,U Should've Known Better,Monica,After The Storm,50,2003
2004,I Go Back,Kenny Chesney,Greatest Hits II,51,2009-05-19
2004,Toxic,Britney Spears,Greatest Hits: My Prerogative,54,2004-11-08
2004,Meant to Live,Switchfoot,The Best Yet,52,2008-10-31
2004,The First Cut Is the Deepest - Acoustic Version,Sheryl Crow,Music From The WB Television Series One Tree Hill (change in 1 track bundle status),48,2005-01-25
2004,Change Clothes,JAY-Z,The Black Album,52,2003-11-14
2004,Heaven,Los Lonely Boys,Playlist: The Very Best Of Los Lonely Boys,49,2010-12-07
2004,Hotel (feat. R.Kelly),"Cassidy, R. Kelly",Split Personality,50,2004-03-16
2004,Splash Waterfalls,Ludacris,Chicken - N - Beer,52,2003-01-01
2004,I Like That,"Houston, Chingy, Nate Dogg, I-20",I Like That,43,2003-10-07
2004,Damn! (feat. Lil' Jon) - Club Mix,"Youngbloodz, Lil Jon",The Best Of YoungBloodZ: Still Grippin' Tha Grain,40,2006-11-21
2004,Freek-a-Leek,Petey Pablo,Still Writing In My Diary: 2nd Entry,46,2004
2004,Gigolo (feat. R.Kelly),"Nick Cannon, R. Kelly",Nick Cannon,48,2003-03-13
2004,Everytime,Britney Spears,Greatest Hits: My Prerogative,42,2004-11-08
2004,Move Ya Body,"Nina Sky, Jabba",Ultimate R&B 2007,41,2007-01-01
2004,Fuck It (I Don't Want You Back),Eamon,F**k It,44,2004-01-28
2004,On Fire,Lloyd Banks,The Ultimate Workout Collection: Blood Sweat And Tears,30,2009-01-01
2004,Game Over (Flip) - Clean Album Version,Lil' Flip,U Gotta Feel Me,33,2004-03-30
2004,Sunshine,Lil' Flip,"'80s & '90s Love - Power Ballads, Slow Jams & Love Songs",30,2010-11-01
2004,Sorry 2004,Ruben Studdard,Playlist: The Very Best Of Ruben Studdard,29,2010-07-27
2004,Why - Album Version (Edited),"Jadakiss, Anthony Hamilton",Kiss Of Death,23,2004-01-01
2004,Redneck Woman,Gretchen Wilson,Country 100,19,2009-09-25
2004,Read Your Mind,Avant,Read Your Mind,14,2003-01-01
2004,Pathological,Versed In Grey,Asides To My Demons,4,2010-03-30
2004,Just A Piece,Versed In Grey,Asides To My Demons,3,2010-03-30
2004,Cold Summer,Tony 214,If Not Now Then When,2,2019-08-18
2004,Baby Boy (feat. Beyoncé ),"Sean Paul, Beyoncé",Dutty Rock,3,2002-11-12
2004,Because of You,Kelly Clarkson,Breakaway,0,2004
2004,Live Like You Were Dying,Tim McGraw,Number One Hits,0,2010-11-30
2004,Dirt Off Your Shoulder,JAY-Z,The Hits Collection Volume One (Deluxe),0,2010-11-22
2004,Let's Get It Started,Black Eyed Peas,Let's Get It Started,0,2010-01-01
2004,She Will Be Loved,Maroon 5,Songs About Love (UMGI Version),0,2010-01-01
2004,Get Low,"Lil Jon & The East Side Boyz, Ying Yang Twins",Ultimate Workout Vol. 3: Hip-Hop,0,2009-07-01
2004,Why Don't You & I - Alt. Version,"Santana, Alex Band",Ultimate Santana,0,2007-10-10
2004,Just Lose It,Eminem,Curtain Call (Deluxe),0,2005-12-06
2004,Dude,"Beenie Man, Ms. Thing",From Kingston To King Of The Dancehall: A Collection Of Dancehall Favorites,0,2005-01-01
2004,My Boo - Main,Usher & Alicia Keys,My Boo / Confessions Part II,0,2004-10-18
2004,Over And Over - Album Version / Explicit,"Nelly, Tim McGraw",Suit,0,2004-09-14
2004,My Place - Album Version / Explicit,"Nelly, Jaheim",Suit,0,2004-09-14
2004,Headsprung,LL COOL J,THE DEFinition,0,2004-08-31
2004,Leave Get Out,JoJo,Jojo,0,2004-07-19
2004,Don't Tell Me,Avril Lavigne,Under My Skin,0,2004-05-13
2004,Burn - Confession Special Edition Version,USHER,Confessions,0,2004-03-23
2004,Yeah!,"USHER, Lil Jon, Ludacris",Yeah!,2,2004-02-09
2004,Overnight Celebrity - Edited,Twista,Kamikaze (Edited Version Re-Release U.S. Version),0,2004-01-27
2004,Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams",Drop It Like It's Hot (International Version),0,2004-01-01
2004,Locked Up,Akon,Trouble,0,2004-01-01
2004,All Falls Down,"Kanye West, Syleena Johnson",The College Dropout (Explicit),1,2004-01-01
2004,Lean Back,Terror Squad,True Story,9,2004-01-01
2004,Jesus Walks,Kanye West,The College Dropout (Explicit),1,2004-01-01
2004,Pieces Of Me,Ashlee Simpson,Autobiography (International Version),0,2004-01-01
2004,My Happy Ending,Avril Lavigne,Under My Skin,0,2004
2004,Through The Wire,Kanye West,The College Dropout (Explicit),0,2004-01-01
2004,I Don't Wanna Know - Main,"Mario Winans, Enya, Diddy",I Don't Wanna Know,0,2004-01-01
2004,100 Years,Five For Fighting,100 Years,0,2003-11-18
2004,White Flag,Dido,White Flag,0,2003-08-28
2004,American Soldier,Toby Keith,Shock 'N Y'all,0,2003-01-01
2004,Here Without You,3 Doors Down,Here Without You,0,2003-01-01
2004,It's My Life,No Doubt,The Singles Collection,0,2003-01-01
2005,Soldier (feat. T.I. & Lil' Wayne),"Destiny's Child, T.I., Lil Wayne",Destiny Fulfilled,58,2004
2005,Gold Digger,"Kanye West, Jamie Foxx",Late Registration,3,2005-01-01
2005,Hey There Delilah,Plain White T's,All That We Needed,81,2005-01-25
2005,Let Me Love You,Mario,Let Me Love You,77,2004-09-21
2005,"1, 2 Step (feat. Missy Elliott) - Main","Ciara, Missy Elliott",Goodies,59,2005-01-22
2005,Mockingbird,Eminem,Curtain Call (Deluxe),5,2005-12-06
2005,Pon de Replay,Rihanna,Music Of The Sun,2,2005-08-29
2005,Hollaback Girl,Gwen Stefani,Let's Get It Started,0,2010-01-01
2005,Don't Cha,"The Pussycat Dolls, Busta Rhymes",PCD (Revised International Version),2,2005-01-01
2005,You And Me,Lifehouse,Lifehouse (International Version),0,2005-01-01
2005,Since U Been Gone,Kelly Clarkson,Breakaway,0,2004
2005,Hate It Or Love It,"The Game, 50 Cent",Hate It Or Love It,44,2005-01-01
2005,We Belong Together,Mariah Carey,We Belong Together (Int'l ECD Maxi),0,2005-01-01
2005,Candy Shop,"50 Cent, Olivia",Candy Shop (International Version),0,2005-01-01
2005,Boulevard of Broken Dreams,Green Day,Boulevard of Broken Dreams,75,2004
2005,Just A Lil Bit,50 Cent,Ultimate R&B Love 2008 (International Version),0,2008-01-01
2005,Feel Good Inc.,"Gorillaz, De La Soul",Demon Days,90,2005-05-23
2005,Behind These Hazel Eyes,Kelly Clarkson,Breakaway,0,2004
2005,Beverly Hills,Weezer,Make Believe,73,2005-05-10
2005,Disco Inferno,50 Cent,Disco Inferno,32,2005
2005,Mr. Brightside,The Killers,Hot Fuss,8,2004-06-15
2005,"Sugar, We're Goin Down",Fall Out Boy,From Under The Cork Tree,3,2005-01-01
2005,I Just Had Sex,"The Lonely Island, Akon",I Just Had Sex,0,2010-01-01
2005,Your Body,Pretty Ricky,Bluestars,65,2005-05-17
2005,Gotta Make It (feat. Twista),"Trey Songz, Twista",I Gotta Make It,48,2005-07-26
2005,1 Thing (feat. Eve) (feat. Eve),"Amerie, Eve",Touch,48,2005
2005,Lose Control (feat. Ciara & Fat Man Scoop),"Missy Elliott, Ciara, Fatman Scoop",The Cookbook,71,2005-07-04
2005,Hold You Down (feat. Fat Joe),"Jennifer Lopez, Fat Joe",Rebirth,38,2005-03-01
2005,Only U Remix,"Ashanti, Caddillac Tah, MERCE, Ja Rule, Black Child",Collectables By Ashanti,43,2005-01-01
2005,Unpredictable (feat. Ludacris) - Main,"Jamie Foxx, Ludacris",Unpredictable,55,2005-12-20
2005,We Run This - without Manicure Interlude,Missy Elliott,The Cookbook,47,2005-07-04
2005,Shake It Off,Mariah Carey,The Emancipation of Mimi,64,2005-04-12
2005,Oh (feat. Ludacris),"Ciara, Ludacris",Goodies,70,2004-09-27
2005,Don't Phunk With My Heart,Black Eyed Peas,Monkey Business (International Version),0,2005-01-01
2005,Lonely No More,Rob Thomas,Lonely No More,27,2005-02-08
2005,Lovers And Friends,"Lil Jon & The East Side Boyz, USHER, Ludacris",Crunk Juice,72,2004-11-16
2005,Cool,Gwen Stefani,Songs About Love (UMGI Version),0,2010-01-01
2005,Let Me Hold You,"Bow Wow, Omarion",Wanted,0,2003
2005,Obsesion (No Es Amor) (feat. Baby Bash),"Frankie J, Baby Bash",Obsession (No Es Amor),34,2005-03-29
2005,Like You (feat. Ciara),"Bow Wow, Ciara",Like You (feat. Ciara) (4 Pack),39,2005-07-15
2005,Caught Up,USHER,Confessions,0,2004-03-23
2005,Listen to Your Heart - Hardbounze Single Edit,"DHT, Edmee",Listen to Your Heart,36,2004-11-23
2005,My Humps,Black Eyed Peas,Monkey Business (International Version),0,2005-01-01
2005,Over And Over - Album Version / Explicit,"Nelly, Tim McGraw",Suit,0,2004-09-14
2005,Hey There Delilah,Plain White T's,All That We Needed,81,2005-01-25
2005,"Sugar, We're Goin Down",Fall Out Boy,From Under The Cork Tree,81,2005-05-03
2005,I Write Sins Not Tragedies,Panic! At The Disco,A Fever You Can't Sweat Out,76,2005-09-27
2005,You And Me,Lifehouse,Lifehouse,78,2005-03-22
2005,"Dance, Dance",Fall Out Boy,From Under The Cork Tree,80,2005-05-03
2005,B.Y.O.B.,System Of A Down,Mezmerize,82,2005-05-17
2005,Best of You,Foo Fighters,In Your Honor,77,2005-06-14
2005,Lonely Day,System Of A Down,Hypnotize,83,2005-11-22
2005,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,Panic! At The Disco,A Fever You Can't Sweat Out,70,2005-09-27
2005,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,The Papercut Chronicles,80,2005-02-22
2005,Everything Is Alright,Motion City Soundtrack,Commit This To Memory,62,2005-06-07
2005,Welcome Home,Coheed and Cambria,Good Apollo I'm Burning Star IV Volume One: From Fear Through The Eyes Of Madness,67,2005-01-15
2005,Just the Girl,The Click Five,Greetings From Imrie House (U.S. Version),64,2005-08-08
2005,Pressure,Paramore,All We Know Is Falling,72,2005-07-26
2005,My Heroine,Silverstein,Discovering the Waterfront (Reissue),0,2005
2005,Alive With the Glory of Love,Say Anything,Is a Real Boy,0,2005-10-01
2005,Holiday / Boulevard of Broken Dreams,Green Day,American Idiot,74,2004-09-21
2005,It's Like That,"Mariah Carey, Jermaine Dupri, Fatman Scoop",The Emancipation of Mimi,59,2005-04-12
2005,Grind With Me,Pretty Ricky,Bluestars,45,2005-05-17
2005,Run It! (feat. Juelz Santana),"Chris Brown, Juelz Santana",Chris Brown,0,2005
2005,Collide - Acoustic Version,Howie Day,Stop All the World Now (Special Edition),62,2003-11-04
2005,Wake Me up When September Ends,Green Day,American Idiot,81,2004-09-21
2005,"Baby, I'm Back","Baby Bash, Akon",Baby I'm Back feat. Akon,37,2004-01-01
2005,She Will Be Loved,Maroon 5,Songs About Love (UMGI Version),0,2010-01-01
2005,Some Cut (feat. Cutty),"Trillville, Cutty",The Crunk Recordings: Hits From The Pioneers And Players Of Crunk,48,2009-06-16
2005,Get It Poppin' (feat. Nelly) - Radio Version,"Fat Joe, Nelly",Get It Poppin' (feat. Nelly) [Radio Version],39,2005-04-26
2005,Because of You,Kelly Clarkson,Breakaway,0,2004
2005,My Boo - Main,Usher & Alicia Keys,My Boo / Confessions Part II,0,2004-10-18
2005,Sugar (Gimme Some) [feat. Cee-Lo & Ludacris],"Trick Daddy, CeeLo Green, Ludacris",Thug Matrimony: Married to the Streets,56,2004-10-26
2005,Karma,Alicia Keys,The Diary Of Alicia Keys,52,2003-12-02
2005,Speed of Sound,Coldplay,X&Y,76,2005-06-07
2005,I Don't Want to Be,Gavin DeGraw,Chariot - Stripped,56,2004-07-26
2005,Beautiful Soul,Jesse McCartney,Beautiful Soul,0,2004
2005,La Tortura,"Shakira, Alejandro Sanz",Fijacion Oral,0,2005-05-18
2005,Scars - Acoustic Version,Papa Roach,To Be Loved: The Best Of Papa Roach (Explicit Version),0,2010-01-01
2005,"Slow Down - 12"" Version",Bobby V.,Ultimate R&B (International Version),0,2006-01-01
2005,Wait (The Whisper Song),Ying Yang Twins,U.S.A. (United State of Atlanta),61,2005-06-28
2005,Hearts Bleed Fire,Jon Omen,Hearts Bleed Fire,0,2021-02-20
2005,Incomplete,Backstreet Boys,Never Gone,0,2005-01-01
2005,Bring Em Out - Amended,T.I.,Urban Legend,0,2004-11-29
2005,1 Thing,Amerie,Playlist: The Very Best Of Amerie,54,2008
2005,Best of You,Foo Fighters,Best Of You,1,2005-05-30
2005,Let Me Go - Acoustic Version,3 Doors Down,Landing In London,30,2005-01-01
2005,Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams",Drop It Like It's Hot (International Version),0,2004-01-01
2005,Free (Let the Music Play),Jerry Geraldo,Toca la Musica,1,2021-01-05
2005,Truth Is,Fantasia,Free Yourself,54,2004-11-22
2005,Don't Lie,Black Eyed Peas,Monkey Business (International Version),0,2005-01-01
2005,Outta Control - Remix,"50 Cent, Mobb Deep",The Massacre (Ecopac Reissue Explicit),0,2005-03-03
2005,No More Goodbyes,Adele & Andy,Where I Belong,2,2021-02-26
2005,U Don't Know Me,T.I.,Urban Legend,0,2004-11-29
2005,These Words,Natasha Bedingfield,Unwritten,0,2004-09-06
2005,U Already Know,112,Pleasure & Pain,56,2005-01-01
2005,Get Right,Jennifer Lopez,Sexy R&B,21,2010-04-09
2005,Play,David Banner,Certified,57,2005-01-01
2005,Ordinary People,John Legend,Get Lifted,0,2004-10-26
2005,You Can't Make Someone Love You,T J Miller,Living the Dream,0,2020-05-01
2006,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean","Oral Fixation, Vol. 2 (Expanded Edition)",89,2005-11-28
2006,Smack That,"Akon, Eminem",Smack That,42,2006-01-01
2006,Feel Good Inc.,"Gorillaz, De La Soul",Demon Days,90,2005-05-23
2006,When I'm Gone,Eminem,Curtain Call (Deluxe),3,2005-12-06
2006,Gold Digger,"Kanye West, Jamie Foxx",Late Registration,3,2005-01-01
2006,Shake That,"Eminem, Nate Dogg",Curtain Call (Deluxe),7,2005-12-06
2006,We Be Burnin' - Legalize It,Sean Paul,"We Be Burnin' (Intl 2 Track slimline/Cardboard Sleeve/7"")",0,2005-09-12
2006,"Sugar, We're Goin Down",Fall Out Boy,From Under The Cork Tree,3,2005-01-01
2006,I Write Sins Not Tragedies,Panic! At The Disco,A Fever You Can't Sweat Out,73,2005-09-27
2006,How to Save a Life,The Fray,How To Save A Life,86,2005-09-13
2006,This Dream I Got,"Dj SupaTruka ThaGrim, Addison D""savage",This Dream I Got,2,2021-04-30
2006,Me & U,Cassie,Cassie (U.S. Version),80,2006-08-07
2006,SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",FutureSex/LoveSounds,85,2006-09-12
2006,Unfaithful,Rihanna,A Girl Like Me,0,2006-04-10
2006,Yo (Excuse Me Miss),Chris Brown,Chris Brown,1,2005-11-29
2006,I'm N Luv (Wit a Stripper) (feat. Mike Jones),"T-Pain, Mike Jones",Rappa Ternt Sanga,0,2005
2006,Ridin',"Chamillionaire, Krayzie Bone",The Sound of Revenge,71,2005-01-01
2006,Probably Gonna Hurt,Scott Kurt,Probably Gonna Hurt,4,2021-04-23
2006,"Dance, Dance",Fall Out Boy,From Under The Cork Tree,2,2005-01-01
2006,Promiscuous,"Nelly Furtado, Timbaland",The Best of Nelly Furtado (International Version),2,2010-01-01
2006,One Wish,Ray J,Raydiation,1,2005-09-05
2006,Squeegee (Remastered),Donny Richmond,Squeegee (Remastered),1,2021-03-11
2006,Bossy Featuring Too $hort (feat. Too $hort),"Kelis, Too $hort",Kelis Was Here,56,2006-08-22
2006,Glamorous,"Fergie, Ludacris",The Dutchess,73,2006-09-13
2006,Touch It,Busta Rhymes,The Big Bang,61,2006-01-01
2006,Read My Mind,The Killers,Sam's Town,73,2006-09-27
2006,Back That Thang Up,"JUVENILE, Mannie Fresh, Lil Wayne",Greatest Hits,33,2006-06-14
2006,Set It Off,Boosie Badazz,Bad Azz,6,2006-10-24
2006,In a Different Light,Daneka Nation,In a Different Light,7,2020-12-17
2006,Fergalicious,"Fergie, will.i.am",The Dutchess,72,2006-09-13
2006,Tell Me When to Go (feat. Keak da Sneak),"E-40, Keak Da Sneak",My Ghetto Report Card,59,2006-03-14
2006,Stuntin' Like My Daddy - Street,"Birdman, Lil Wayne",Like Father Like Son,64,2006-01-01
2006,Sleepwalking,"F.O.M Ferro, Hunxho",Sleepwalking,0,2021-03-04
2006,U and Dat (feat. T. Pain & Kandi Girl),"E-40, T-Pain, Kandi Girl",My Ghetto Report Card,68,2006-03-14
2006,Like a Boy,Ciara,The Evolution,68,2006
2006,Miss Murder,AFI,DECEMBERUNDERGROUND,71,2006-06-06
2006,Snow (Hey Oh),Red Hot Chili Peppers,Stadium Arcadium,81,2006-05-09
2006,Never Too Late,Three Days Grace,One-X,76,2006-06-25
2006,Welcome to the Black Parade,My Chemical Romance,The Black Parade,80,2006-10-20
2006,That's How Hearts Are Broken,Nikki Nelson,That's How Hearts Are Broken,1,2021-03-29
2006,The Diary of Jane - Single Version,Breaking Benjamin,Phobia (Explicit Version),62,2006-01-01
2006,Caribou Lou (Album Version (Explicit)),Tech N9ne,Everready,59,2006-11-07
2006,Face Down,The Red Jumpsuit Apparatus,Don't You Fake It,79,2006-01-01
2006,Strategy,OlbyDakid,Strategy,0,2021-02-19
2006,Animal I Have Become,Three Days Grace,One-X,82,2006-06-25
2006,Dani California,Red Hot Chili Peppers,Stadium Arcadium,81,2006-05-09
2006,When You Were Young,The Killers,Sam's Town,80,2006-09-27
2006,The Funeral,Band of Horses,Everything All The Time,1,2006-03-21
2006,What You Know,T.I.,King,68,2006-03-26
2006,Starlight,Muse,Black Holes and Revelations,78,2006-06-19
2006,First Time Last,"Jason Jefferson, Church Boii",Disingenuous Love Songs Volume 1: A Dark Paramour,1,2021-04-01
2006,Shortie Like Mine (feat. Chris Brown & Johntá Austin),"Bow Wow, Chris Brown, Johnta Austin",The Price Of Fame,67,2006-12-18
2006,Ice Box,Omarion,21,62,2006-12-26
2006,It's Goin' Down (feat. Nitti),"Yung Joc, NITTI",New Joc City,70,2006-06-06
2006,Dilemma,Xhey,Dilemma,3,2020-01-10
2006,Hustlin',Rick Ross,Port Of Miami,70,2006-01-01
2006,Too Little Too Late - 2018,JoJo,The High Road (2018),57,2018-12-20
2006,Chasing Cars,Snow Patrol,Chasing Cars,59,2006-01-01
2006,You're Beautiful,James Blunt,Back to Bedlam,67,2005-10-04
2006,Snap Yo Fingers,"Lil Jon, E-40, Sean Paul",Snap Yo Fingers - Single,73,2006-05-02
2006,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),51,2005-10-07
2006,State of Emergency,Fella Million,State of Emergency,2,2020-12-07
2006,SOS,Rihanna,A Girl Like Me,2,2006-04-10
2006,Soul Survivor,"Jeezy, Akon",Let's Get It: Thug Motivation 101,70,2005
2006,Dirty Little Secret,The All-American Rejects,Move Along,68,2005-01-01
2006,Secret Safe,Hobby,Secret Safe,1,2021-04-02
2006,Be Without You - Kendu Mix,Mary J. Blige,The Breakthrough,0,2005-01-01
2006,Deja Vu (feat. JAY-Z),"Beyoncé, JAY-Z",B'Day Deluxe Edition,67,2007-05-29
2006,Love,Keyshia Cole,The Way It Is,84,2005-01-01
2006,Crazy - Single Version,Gnarls Barkley,Crazy,52,2006-03-31
